sep=;
Metric;Current;Min;Max;Avg;
cen2;16.08%;0.28%;95.57%;24.81%;
cen3 app;34.88%;0.07%;79.70%;24.04%;
cen3 db;1.83%;0.23%;3.60%;1.60%;
