Metric,Min,Max,Avg
Cenário 1 - Read,"135,43","156,43","146,05"
Cenário 1 - Write,"249,01","6840,32","3399,68"
Cenário 2 - app - Read,"58,91","60,29","60,11"
Cenário 2 - db - Read,"134,37","158,53","147,46"
Cenário 2 - app - Write,"0,00390625","0,00390625","0,00390625"
Cenário 2 - db - Write,"275,74","7792,64","4106,24"
